feedback_id,ride_id,user_rating,captain_rating,issue_category,comments
FDBK000033,RIDE046629,1,5,No Helmet Provided,
FDBK000034,RIDE009933,4,2,Bike in Poor Condition,Ride was smooth and quick
FDBK000035,RIDE046629,3,3,Fare Overcharged,Ride experience could be better
FDBK000036,RIDE029973,2,,Navigation Confusion,Ride experience could be better
FDBK000037,RIDE070810,1,5,Long Wait Time,Ride experience could be better
FDBK000038,RIDE050555,4,4,,"Helmet not provided, unsafe"
FDBK000039,RIDE075707,3,4,Unsafe Driving / Speeding,Not satisfied with behaviour
FDBK000040,RIDE055236,5,3,Captain Rude or Unfriendly,Captain was polite and helpful
FDBK000041,RIDE006271,4,2,No Helmet Provided,"Good service, will ride again"
FDBK000042,RIDE078103,2,2,Captain Arrived Late,"Helmet not provided, unsafe"
FDBK000043,,4,5,Navigation Confusion,"Good service, will ride again"
FDBK000044,RIDE046629,3,4,Long Wait Time,Captain was polite and helpful
FDBK000045,RIDE024547,3,2,,Ride was smooth and quick
FDBK000046,RIDE071442,2,2,Route Issues / Longer Route Taken,Fare charged was higher than expected
FDBK000047,RIDE069963,1,3,No Issues,"Good service, will ride again"
FDBK000048,,4,3,Long Wait Time,Captain arrived late
FDBK000049,RIDE036733,3,3,No Issues,"Helmet not provided, unsafe"
FDBK000050,RIDE007095,5,1,Unsafe Driving / Speeding,Traffic was handled well
FDBK000051,RIDE010352,4,2,No Issues,Bike was not clean
FDBK000052,RIDE025857,,2,Long Wait Time,Not satisfied with behaviour
FDBK000053,RIDE027116,5,5,No Issues,Captain arrived late
FDBK000054,RIDE011762,2,2,Long Wait Time,Ride was smooth and quick
FDBK000055,RIDE035609,4,1,Long Wait Time,Captain arrived late
FDBK000056,RIDE038856,,2,No Helmet Provided,"Helmet not provided, unsafe"
FDBK000057,RIDE070810,1,1,No Issues,Ride experience could be better
FDBK000058,RIDE023385,4,3,Fare Overcharged,Traffic was handled well
FDBK000059,RIDE078451,,4,Captain Rude or Unfriendly,Bike was not clean
FDBK000060,RIDE016643,1,2,Navigation Confusion,Ride experience could be better
FDBK000061,RIDE071678,1,,Long Wait Time,"Helmet not provided, unsafe"
FDBK000062,RIDE054289,4,2,Unsafe Driving / Speeding,
FDBK000063,RIDE005752,4,5,,Captain arrived late
FDBK000064,RIDE022043,2,2,Bike in Poor Condition,Ride was smooth and quick
FDBK000065,RIDE074071,2,1,,Captain arrived late
FDBK000066,RIDE002027,,1,Route Issues / Longer Route Taken,"Helmet not provided, unsafe"
FDBK000067,RIDE047409,,3,Navigation Confusion,"Helmet not provided, unsafe"
FDBK000068,,1,,Captain Rude or Unfriendly,Bike was not clean
FDBK000069,RIDE024474,2,5,Route Issues / Longer Route Taken,Captain was polite and helpful
FDBK000070,RIDE016628,1,2,Captain Arrived Late,Captain was polite and helpful
FDBK000071,RIDE043116,3,2,Unsafe Driving / Speeding,"Helmet not provided, unsafe"
FDBK000072,RIDE037468,4,,Unsafe Driving / Speeding,
FDBK000073,RIDE073144,5,2,,Traffic was handled well
FDBK000074,RIDE045883,5,1,Fare Overcharged,Captain was polite and helpful
FDBK000075,RIDE008017,5,2,Long Wait Time,Ride experience could be better
FDBK000076,RIDE049592,4,,Fare Overcharged,"Good service, will ride again"
FDBK000077,RIDE025891,2,4,Navigation Confusion,Fare charged was higher than expected
FDBK000078,RIDE060655,2,1,Unsafe Driving / Speeding,"Good service, will ride again"
FDBK000079,RIDE000601,5,5,Captain Rude or Unfriendly,
FDBK000080,RIDE014109,3,1,Captain Arrived Late,Captain arrived late
FDBK000081,RIDE023691,2,1,Captain Rude or Unfriendly,Captain was polite and helpful
FDBK000082,RIDE023567,5,3,Captain Arrived Late,Traffic was handled well
FDBK000083,RIDE010179,4,3,Captain Arrived Late,Ride was smooth and quick
FDBK000084,RIDE029831,3,4,Captain Arrived Late,"Good service, will ride again"
FDBK000085,RIDE071953,1,5,No Issues,Captain was polite and helpful
FDBK000086,RIDE048775,3,3,Captain Rude or Unfriendly,Captain arrived late
FDBK000087,RIDE011812,2,,Fare Overcharged,Captain was polite and helpful
FDBK000088,RIDE051057,2,1,Long Wait Time,Ride was smooth and quick
FDBK000089,RIDE038294,5,2,No Issues,"Helmet not provided, unsafe"
FDBK000090,RIDE039572,5,2,Route Issues / Longer Route Taken,Traffic was handled well
FDBK000091,RIDE016643,5,1,Navigation Confusion,Captain arrived late
FDBK000092,RIDE004712,1,3,Long Wait Time,"Good service, will ride again"
FDBK000093,RIDE038240,4,2,Captain Rude or Unfriendly,Ride experience could be better
FDBK000094,RIDE026602,2,4,,Captain arrived late
FDBK000095,RIDE036046,4,2,Bike in Poor Condition,
FDBK000096,RIDE025688,2,5,No Helmet Provided,"Good service, will ride again"
FDBK000097,RIDE000782,1,1,No Helmet Provided,Fare charged was higher than expected
FDBK000098,RIDE034782,3,5,Route Issues / Longer Route Taken,Traffic was handled well
FDBK000099,RIDE021698,2,5,No Issues,Not satisfied with behaviour
FDBK000100,RIDE065580,1,1,Long Wait Time,Ride experience could be better
FDBK000101,RIDE070306,4,,,Traffic was handled well
FDBK000102,,1,1,Long Wait Time,Traffic was handled well
FDBK000103,RIDE012045,5,,No Issues,Traffic was handled well
FDBK000104,RIDE079462,1,3,Navigation Confusion,Traffic was handled well
FDBK000105,RIDE028189,4,2,Unsafe Driving / Speeding,Not satisfied with behaviour
FDBK000106,RIDE053298,2,5,,
FDBK000107,RIDE054893,2,5,Captain Rude or Unfriendly,Not satisfied with behaviour
FDBK000108,RIDE076766,1,4,Bike in Poor Condition,Ride was smooth and quick
FDBK000109,RIDE079462,5,1,Navigation Confusion,"Helmet not provided, unsafe"
FDBK000110,RIDE038240,5,1,Navigation Confusion,Traffic was handled well
FDBK000111,RIDE058183,3,5,Route Issues / Longer Route Taken,Not satisfied with behaviour
FDBK000112,RIDE065522,2,3,Navigation Confusion,Traffic was handled well
FDBK000113,RIDE076833,4,4,Bike in Poor Condition,Ride was smooth and quick
FDBK000114,RIDE011812,5,1,Captain Arrived Late,"Helmet not provided, unsafe"
FDBK000115,RIDE007129,5,5,Captain Arrived Late,Bike was not clean
FDBK000116,RIDE015514,3,1,Route Issues / Longer Route Taken,"Helmet not provided, unsafe"
FDBK000117,RIDE002191,4,4,Bike in Poor Condition,Captain was polite and helpful
FDBK000118,RIDE027800,4,4,Captain Arrived Late,Not satisfied with behaviour
FDBK000119,RIDE027537,2,4,No Issues,Not satisfied with behaviour
FDBK000120,RIDE031170,3,5,Long Wait Time,"Helmet not provided, unsafe"
FDBK000121,RIDE038114,1,2,No Helmet Provided,"Helmet not provided, unsafe"
FDBK000122,RIDE022380,2,3,Bike in Poor Condition,Not satisfied with behaviour
FDBK000123,RIDE028517,5,5,,Captain arrived late
FDBK000124,RIDE045248,5,2,Route Issues / Longer Route Taken,"Helmet not provided, unsafe"
FDBK000125,RIDE076479,5,3,No Helmet Provided,Traffic was handled well
FDBK000126,RIDE020693,,4,Fare Overcharged,Fare charged was higher than expected
FDBK000127,RIDE066601,4,2,Bike in Poor Condition,Traffic was handled well
FDBK000128,RIDE045116,4,1,,Captain was polite and helpful
FDBK000129,RIDE016628,4,1,Bike in Poor Condition,
FDBK000130,RIDE022395,1,1,,Bike was not clean
FDBK000131,RIDE027116,1,3,Long Wait Time,Captain arrived late
FDBK000132,RIDE009345,5,3,Unsafe Driving / Speeding,
FDBK000133,RIDE008723,5,2,Fare Overcharged,Bike was not clean
FDBK000134,RIDE050555,3,4,Bike in Poor Condition,Captain was polite and helpful
FDBK000135,RIDE051957,,1,Captain Rude or Unfriendly,Traffic was handled well
FDBK000136,RIDE071486,5,1,Bike in Poor Condition,Not satisfied with behaviour
FDBK000137,RIDE046629,1,2,Unsafe Driving / Speeding,Fare charged was higher than expected
FDBK000138,RIDE016491,4,1,Bike in Poor Condition,"Helmet not provided, unsafe"
FDBK000139,RIDE075426,5,5,Captain Rude or Unfriendly,"Helmet not provided, unsafe"
FDBK000140,RIDE056925,1,5,Captain Rude or Unfriendly,Fare charged was higher than expected
FDBK000141,RIDE078103,4,2,,"Helmet not provided, unsafe"
FDBK000142,RIDE020693,1,1,Fare Overcharged,Fare charged was higher than expected
FDBK000143,RIDE001982,2,3,Long Wait Time,Ride was smooth and quick
FDBK000144,RIDE068267,5,3,Long Wait Time,Ride was smooth and quick
FDBK000145,RIDE009282,4,1,Fare Overcharged,Not satisfied with behaviour
FDBK000146,RIDE035609,3,5,,"Helmet not provided, unsafe"
FDBK000147,RIDE035438,5,4,Navigation Confusion,Captain arrived late
FDBK000148,RIDE076833,1,4,No Helmet Provided,Bike was not clean
FDBK000149,RIDE028207,3,4,No Helmet Provided,Captain arrived late
FDBK000150,,5,2,No Helmet Provided,Ride experience could be better
FDBK000151,RIDE061883,1,3,Unsafe Driving / Speeding,
FDBK000152,RIDE073322,3,3,Unsafe Driving / Speeding,"Good service, will ride again"
FDBK000153,RIDE035609,4,3,Route Issues / Longer Route Taken,Fare charged was higher than expected
FDBK000154,RIDE009474,4,5,Captain Arrived Late,Captain arrived late
FDBK000155,RIDE054375,3,2,No Issues,Fare charged was higher than expected
FDBK000156,RIDE060001,5,2,Route Issues / Longer Route Taken,Captain arrived late
FDBK000157,RIDE066601,3,,No Issues,Ride experience could be better
FDBK000158,RIDE002027,2,2,No Helmet Provided,Bike was not clean
FDBK000159,RIDE044018,4,,Captain Arrived Late,Ride experience could be better
FDBK000160,RIDE035854,2,2,Captain Arrived Late,Ride was smooth and quick
FDBK000161,RIDE047822,2,,Bike in Poor Condition,Traffic was handled well
FDBK000162,RIDE025271,5,5,Captain Rude or Unfriendly,
FDBK000163,RIDE025688,1,2,No Issues,
FDBK000164,RIDE000036,1,5,Fare Overcharged,Ride was smooth and quick
FDBK000165,RIDE071953,3,1,Fare Overcharged,Captain was polite and helpful
FDBK000166,RIDE045527,5,1,Bike in Poor Condition,Ride was smooth and quick
FDBK000167,RIDE060001,1,3,Unsafe Driving / Speeding,Captain was polite and helpful
FDBK000168,RIDE031661,4,2,Fare Overcharged,
FDBK000169,RIDE002321,2,1,Fare Overcharged,Captain arrived late
FDBK000170,RIDE072616,1,3,No Helmet Provided,"Helmet not provided, unsafe"
FDBK000171,RIDE047804,4,1,,"Helmet not provided, unsafe"
FDBK000172,RIDE059761,2,2,Unsafe Driving / Speeding,"Good service, will ride again"
FDBK000173,RIDE068778,1,3,No Helmet Provided,
FDBK000174,RIDE078219,2,4,Long Wait Time,Fare charged was higher than expected
FDBK000175,RIDE052337,5,1,Unsafe Driving / Speeding,Ride was smooth and quick
FDBK000176,RIDE065064,1,1,Route Issues / Longer Route Taken,"Good service, will ride again"
FDBK000177,RIDE037719,5,5,No Issues,Traffic was handled well
FDBK000178,RIDE074949,,1,Long Wait Time,Traffic was handled well
FDBK000179,RIDE065064,3,1,Navigation Confusion,"Good service, will ride again"
FDBK000180,,3,4,No Issues,Captain arrived late
FDBK000181,RIDE022120,1,4,No Helmet Provided,Fare charged was higher than expected
FDBK000182,RIDE056148,5,1,No Helmet Provided,"Helmet not provided, unsafe"
FDBK000183,RIDE067831,1,2,Navigation Confusion,Fare charged was higher than expected
FDBK000184,,3,5,Captain Rude or Unfriendly,Ride was smooth and quick
FDBK000185,RIDE002027,1,2,,Captain was polite and helpful
FDBK000186,RIDE054200,3,2,Unsafe Driving / Speeding,Traffic was handled well
FDBK000187,RIDE066269,1,4,Fare Overcharged,Captain was polite and helpful
FDBK000188,RIDE039097,4,3,Bike in Poor Condition,Ride was smooth and quick
FDBK000189,RIDE037999,2,1,Unsafe Driving / Speeding,"Good service, will ride again"
FDBK000190,RIDE001458,2,3,Route Issues / Longer Route Taken,Captain was polite and helpful
FDBK000191,RIDE002436,2,1,Route Issues / Longer Route Taken,"Helmet not provided, unsafe"
FDBK000192,RIDE066842,2,5,Captain Rude or Unfriendly,Captain arrived late
FDBK000193,,5,5,No Issues,Captain was polite and helpful
FDBK000194,RIDE053799,4,4,No Issues,
FDBK000195,RIDE071486,5,2,Captain Rude or Unfriendly,Ride was smooth and quick
FDBK000196,RIDE026340,5,1,No Helmet Provided,Fare charged was higher than expected
FDBK000197,RIDE041113,2,2,Navigation Confusion,Captain arrived late
FDBK000198,RIDE063153,3,1,Unsafe Driving / Speeding,Bike was not clean
FDBK000199,RIDE008382,1,4,Navigation Confusion,"Helmet not provided, unsafe"
FDBK000200,RIDE017549,2,1,Fare Overcharged,
FDBK000201,RIDE049571,3,,Long Wait Time,"Good service, will ride again"
FDBK000202,RIDE009225,5,2,Captain Rude or Unfriendly,Not satisfied with behaviour
FDBK000203,RIDE002685,,5,Unsafe Driving / Speeding,Traffic was handled well
FDBK000204,RIDE050757,4,4,Unsafe Driving / Speeding,"Good service, will ride again"
FDBK000205,RIDE078339,2,3,Fare Overcharged,Ride was smooth and quick
FDBK000206,RIDE056937,3,1,No Issues,Ride was smooth and quick
FDBK000207,RIDE013690,1,1,No Helmet Provided,Captain was polite and helpful
FDBK000208,RIDE051588,2,,Route Issues / Longer Route Taken,Not satisfied with behaviour
FDBK000209,RIDE014347,2,1,Route Issues / Longer Route Taken,Fare charged was higher than expected
FDBK000210,RIDE074222,2,5,Navigation Confusion,Ride experience could be better
FDBK000211,RIDE069162,1,3,Captain Rude or Unfriendly,Bike was not clean
FDBK000212,RIDE025393,2,1,No Helmet Provided,Traffic was handled well
FDBK000213,,1,2,,Captain arrived late
FDBK000214,RIDE070254,5,4,Captain Arrived Late,Bike was not clean
FDBK000215,RIDE079706,3,1,,Fare charged was higher than expected
FDBK000216,RIDE050757,5,2,Captain Arrived Late,Captain was polite and helpful
FDBK000217,RIDE057566,5,4,Bike in Poor Condition,Not satisfied with behaviour
FDBK000218,RIDE025688,2,5,Fare Overcharged,"Helmet not provided, unsafe"
FDBK000219,RIDE046839,,4,Fare Overcharged,Fare charged was higher than expected
FDBK000220,RIDE043109,,1,Route Issues / Longer Route Taken,Captain arrived late
FDBK000221,,4,4,Bike in Poor Condition,"Helmet not provided, unsafe"
FDBK000222,RIDE063153,2,1,Route Issues / Longer Route Taken,Ride was smooth and quick
FDBK000223,RIDE019914,4,5,Fare Overcharged,Fare charged was higher than expected
FDBK000224,RIDE036180,2,1,Long Wait Time,"Helmet not provided, unsafe"
FDBK000225,RIDE003399,3,3,No Issues,
FDBK000226,RIDE027678,2,4,Fare Overcharged,Not satisfied with behaviour
FDBK000227,RIDE069963,4,1,,"Helmet not provided, unsafe"
FDBK000228,RIDE027678,3,2,Fare Overcharged,Not satisfied with behaviour
FDBK000229,RIDE053941,5,1,,Ride was smooth and quick
FDBK000230,RIDE065606,4,4,Long Wait Time,
FDBK000231,RIDE010826,5,2,Fare Overcharged,Bike was not clean
FDBK000232,RIDE067929,3,1,No Issues,"Good service, will ride again"
FDBK000233,RIDE067400,1,5,Route Issues / Longer Route Taken,Not satisfied with behaviour
FDBK000234,RIDE051062,,5,Captain Arrived Late,Ride was smooth and quick
FDBK000235,RIDE074222,5,,Captain Arrived Late,Bike was not clean
FDBK000236,RIDE049448,2,5,,Captain was polite and helpful
FDBK000237,RIDE058162,4,4,No Issues,Ride was smooth and quick
FDBK000238,RIDE033659,4,,,
FDBK000239,RIDE075832,1,5,Captain Arrived Late,Ride experience could be better
FDBK000240,RIDE012353,2,2,Long Wait Time,Fare charged was higher than expected
FDBK000241,RIDE057677,5,4,Fare Overcharged,
FDBK000242,RIDE009274,3,4,Captain Arrived Late,Captain was polite and helpful
FDBK000243,RIDE079227,4,1,Route Issues / Longer Route Taken,Captain was polite and helpful
FDBK000244,RIDE040578,3,2,Unsafe Driving / Speeding,"Helmet not provided, unsafe"
FDBK000245,RIDE045676,5,1,Long Wait Time,Ride experience could be better
FDBK000246,RIDE048110,1,3,Fare Overcharged,"Helmet not provided, unsafe"
FDBK000247,RIDE003907,,4,Fare Overcharged,
FDBK000248,RIDE069866,2,3,Bike in Poor Condition,Traffic was handled well
FDBK000249,RIDE076479,1,4,Fare Overcharged,Ride experience could be better
FDBK000250,RIDE036632,3,1,Navigation Confusion,Captain was polite and helpful
FDBK000251,RIDE009936,2,,Captain Rude or Unfriendly,"Good service, will ride again"
FDBK000252,RIDE004290,2,2,Unsafe Driving / Speeding,Bike was not clean
FDBK000253,RIDE071977,4,1,No Helmet Provided,"Good service, will ride again"
FDBK000254,,4,4,No Helmet Provided,Captain arrived late
FDBK000255,RIDE010826,3,4,Navigation Confusion,Ride was smooth and quick
FDBK000256,RIDE076909,1,4,Route Issues / Longer Route Taken,"Helmet not provided, unsafe"
FDBK000257,RIDE000255,5,1,Captain Arrived Late,"Good service, will ride again"
FDBK000258,RIDE027388,2,2,Unsafe Driving / Speeding,Bike was not clean
FDBK000259,RIDE018141,5,1,Fare Overcharged,Traffic was handled well
FDBK000260,RIDE021541,4,3,Captain Rude or Unfriendly,Captain was polite and helpful
FDBK000261,RIDE000840,4,5,Bike in Poor Condition,"Helmet not provided, unsafe"
FDBK000262,RIDE023385,5,2,Route Issues / Longer Route Taken,Ride experience could be better
FDBK000263,RIDE033346,1,,Captain Rude or Unfriendly,Captain arrived late
FDBK000264,RIDE040761,2,4,Captain Arrived Late,Not satisfied with behaviour
FDBK000265,RIDE008584,4,1,No Issues,Not satisfied with behaviour
FDBK000266,RIDE013732,2,1,Bike in Poor Condition,"Good service, will ride again"
FDBK000267,RIDE036046,2,1,Fare Overcharged,Bike was not clean
FDBK000268,RIDE043069,1,3,,Captain was polite and helpful
FDBK000269,,3,4,Captain Arrived Late,Not satisfied with behaviour
FDBK000270,RIDE050757,2,4,Long Wait Time,Ride experience could be better
FDBK000271,,1,1,Captain Arrived Late,
FDBK000272,RIDE054375,5,1,Navigation Confusion,Captain arrived late
FDBK000273,RIDE032399,2,3,No Helmet Provided,
FDBK000274,RIDE011819,3,2,Unsafe Driving / Speeding,Captain was polite and helpful
FDBK000275,RIDE064541,5,5,Captain Arrived Late,Ride experience could be better
FDBK000276,RIDE075000,,4,No Issues,Ride experience could be better
FDBK000277,RIDE076169,2,3,Route Issues / Longer Route Taken,Captain arrived late
FDBK000278,RIDE005559,5,2,Captain Rude or Unfriendly,
FDBK000279,RIDE031441,,1,Long Wait Time,Traffic was handled well
FDBK000280,RIDE009523,5,4,No Issues,Not satisfied with behaviour
FDBK000281,RIDE007488,3,3,Navigation Confusion,Captain was polite and helpful
FDBK000282,RIDE069063,4,1,Bike in Poor Condition,Ride experience could be better
FDBK000283,RIDE070914,3,2,Captain Rude or Unfriendly,"Good service, will ride again"
FDBK000284,RIDE000050,4,1,Fare Overcharged,Ride was smooth and quick
FDBK000285,RIDE002343,3,4,,Fare charged was higher than expected
FDBK000286,RIDE002177,2,3,Bike in Poor Condition,Ride experience could be better
FDBK000287,RIDE014088,4,5,Unsafe Driving / Speeding,"Good service, will ride again"
FDBK000288,RIDE014913,,4,Long Wait Time,Captain was polite and helpful
FDBK000289,RIDE046581,3,,Fare Overcharged,"Helmet not provided, unsafe"
FDBK000290,RIDE077463,3,1,Route Issues / Longer Route Taken,
FDBK000291,RIDE062653,3,4,Unsafe Driving / Speeding,Captain was polite and helpful
FDBK000292,RIDE017245,3,4,Long Wait Time,Traffic was handled well
FDBK000293,RIDE009354,3,1,No Helmet Provided,Traffic was handled well
FDBK000294,RIDE004178,5,1,Bike in Poor Condition,Ride was smooth and quick
FDBK000295,RIDE050599,4,5,,"Good service, will ride again"
FDBK000296,RIDE020899,2,2,,Not satisfied with behaviour
FDBK000297,RIDE026048,2,3,No Helmet Provided,Not satisfied with behaviour
FDBK000298,RIDE074471,3,5,Captain Rude or Unfriendly,Ride was smooth and quick
FDBK000299,RIDE005963,5,4,Captain Rude or Unfriendly,"Good service, will ride again"
FDBK000300,RIDE052937,1,2,Captain Rude or Unfriendly,Ride experience could be better
FDBK000301,RIDE003208,1,5,,Bike was not clean
FDBK000302,RIDE008320,5,2,Captain Rude or Unfriendly,"Helmet not provided, unsafe"
FDBK000303,RIDE042550,2,3,,Captain was polite and helpful
FDBK000304,RIDE051956,2,2,Fare Overcharged,"Helmet not provided, unsafe"
FDBK000305,RIDE041049,5,3,Navigation Confusion,Captain arrived late
FDBK000306,RIDE002855,5,3,,Not satisfied with behaviour
FDBK000307,RIDE013745,2,4,Navigation Confusion,"Good service, will ride again"
FDBK000308,RIDE024222,2,2,Unsafe Driving / Speeding,Not satisfied with behaviour
FDBK000309,RIDE031924,4,4,Bike in Poor Condition,"Good service, will ride again"
FDBK000310,,1,1,Captain Rude or Unfriendly,Bike was not clean
FDBK000311,RIDE003292,5,5,No Issues,Ride was smooth and quick
FDBK000312,RIDE052869,2,1,Bike in Poor Condition,Ride was smooth and quick
FDBK000313,RIDE031713,4,2,Route Issues / Longer Route Taken,Bike was not clean
FDBK000314,RIDE009011,2,4,Captain Rude or Unfriendly,Captain was polite and helpful
FDBK000315,RIDE050612,1,5,Navigation Confusion,Bike was not clean
FDBK000316,RIDE058183,2,5,Navigation Confusion,Ride experience could be better
FDBK000317,,5,,No Helmet Provided,Not satisfied with behaviour
FDBK000318,RIDE032342,5,5,No Issues,Captain arrived late
FDBK000319,RIDE017383,1,3,Navigation Confusion,Not satisfied with behaviour
FDBK000320,RIDE042567,1,4,Long Wait Time,"Good service, will ride again"
FDBK000321,RIDE072125,5,1,Bike in Poor Condition,Fare charged was higher than expected
FDBK000322,RIDE005550,5,1,,Traffic was handled well
FDBK000323,RIDE073216,3,1,No Issues,Bike was not clean
FDBK000324,RIDE027039,5,4,Long Wait Time,Traffic was handled well
FDBK000325,RIDE059596,2,5,Navigation Confusion,
FDBK000326,RIDE038276,2,1,Navigation Confusion,Traffic was handled well
FDBK000327,RIDE047263,5,3,,
FDBK000328,RIDE041107,2,5,Unsafe Driving / Speeding,Ride experience could be better
FDBK000329,RIDE013745,5,5,Route Issues / Longer Route Taken,"Helmet not provided, unsafe"
FDBK000330,RIDE073066,1,1,No Issues,
FDBK000331,RIDE043887,3,3,Route Issues / Longer Route Taken,Traffic was handled well
FDBK000332,RIDE058185,1,4,Long Wait Time,Bike was not clean
FDBK000333,RIDE056976,5,1,Captain Arrived Late,Traffic was handled well
FDBK000334,RIDE009645,1,2,Long Wait Time,Traffic was handled well
FDBK000335,RIDE023742,2,5,No Helmet Provided,
FDBK000336,RIDE058183,4,3,Navigation Confusion,Not satisfied with behaviour
FDBK000337,RIDE012672,5,1,Captain Rude or Unfriendly,Traffic was handled well
FDBK000338,,2,1,Navigation Confusion,Captain was polite and helpful
FDBK000339,RIDE043775,5,2,,Bike was not clean
FDBK000340,RIDE021512,1,,Bike in Poor Condition,"Good service, will ride again"
FDBK000341,RIDE039423,1,3,Route Issues / Longer Route Taken,
FDBK000342,RIDE021007,5,4,Captain Rude or Unfriendly,"Good service, will ride again"
FDBK000343,RIDE012045,3,4,Route Issues / Longer Route Taken,Traffic was handled well
FDBK000344,RIDE009225,2,3,Bike in Poor Condition,Fare charged was higher than expected
FDBK000345,,4,1,Bike in Poor Condition,Not satisfied with behaviour
FDBK000346,RIDE058507,3,5,Route Issues / Longer Route Taken,Ride experience could be better
FDBK000347,RIDE058531,2,2,No Issues,Captain arrived late
FDBK000348,RIDE038180,3,5,Navigation Confusion,Traffic was handled well
FDBK000349,RIDE031334,3,5,No Issues,Traffic was handled well
FDBK000350,RIDE068446,3,2,,"Helmet not provided, unsafe"
FDBK000351,RIDE010270,,3,Route Issues / Longer Route Taken,Ride was smooth and quick
FDBK000352,RIDE060464,3,2,Route Issues / Longer Route Taken,
FDBK000353,RIDE049571,1,4,Unsafe Driving / Speeding,"Helmet not provided, unsafe"
FDBK000354,RIDE074436,5,1,Route Issues / Longer Route Taken,Bike was not clean
FDBK000355,RIDE037544,3,1,Navigation Confusion,"Good service, will ride again"
FDBK000356,RIDE058294,3,1,Route Issues / Longer Route Taken,"Helmet not provided, unsafe"
FDBK000357,RIDE058118,3,3,Captain Rude or Unfriendly,Bike was not clean
FDBK000358,RIDE011812,4,3,Captain Rude or Unfriendly,Bike was not clean
FDBK000359,RIDE032210,5,2,Captain Arrived Late,
FDBK000360,RIDE007152,5,2,Fare Overcharged,Ride was smooth and quick
FDBK000361,RIDE024732,4,3,Captain Rude or Unfriendly,
FDBK000362,RIDE057861,1,3,Bike in Poor Condition,Not satisfied with behaviour
FDBK000363,RIDE027712,3,1,Route Issues / Longer Route Taken,Ride experience could be better
FDBK000364,RIDE060667,2,1,Bike in Poor Condition,
FDBK000365,,3,1,Bike in Poor Condition,Ride was smooth and quick
FDBK000366,RIDE009346,1,,Route Issues / Longer Route Taken,Captain was polite and helpful
FDBK000367,RIDE070810,5,1,No Helmet Provided,
FDBK000368,RIDE009855,5,1,Fare Overcharged,Captain was polite and helpful
FDBK000369,RIDE075207,4,2,Fare Overcharged,"Helmet not provided, unsafe"
FDBK000370,RIDE033346,2,4,Bike in Poor Condition,Fare charged was higher than expected
FDBK000371,RIDE034388,4,2,Unsafe Driving / Speeding,Ride experience could be better
FDBK000372,RIDE055760,2,2,No Issues,Ride experience could be better
FDBK000373,RIDE039423,2,2,Bike in Poor Condition,Ride was smooth and quick
FDBK000374,RIDE030835,2,2,,Traffic was handled well
FDBK000375,RIDE045515,4,,,Captain arrived late
FDBK000376,RIDE026041,1,3,Bike in Poor Condition,
FDBK000377,RIDE036608,1,4,No Issues,Traffic was handled well
