ride_id,user_id,captain_id,ride_date,pickup_loc,drop_loc,distance_km,duration_min,ride_status
RIDE000020,user09701,CP02051,7/26/2025,"Jubilee Hills, Hyderabad","Gachibowli, Hyderabad",11.7,102,completed
RIDE000021,user06369,CP01135,8/16/2025,"Jubilee Hills, Hyderabad","Charminar, Hyderabad",10.72,92,completed
RIDE000022,user14361,CP00612,6/28/2025,"Indiranagar, Bangalore","Koramangala, Bangalore",3.43,23,completed
RIDE000023,user12530,CP01927,8/26/2025,"Koramangala, Bangalore","Indiranagar, Bangalore",10.13,71,completed
RIDE000024,user04851,CP01398,2025-06-03,"Jubilee Hills, Hyderabad","Charminar, Hyderabad",16.62,120,completed
,user08369,CP00141,2025-06-07,"Indiranagar, Bangalore","Whitefield, Bangalore",9.84,107,completed
RIDE000026,user10505,CP02439,06/06/2025,"Indiranagar, Bangalore","MG Road, Bangalore",5.5,52,completed
RIDE000027,user01978,CP02117,2025-08-04,"Koramangala, Bangalore","Whitefield, Bangalore",7.97,61,completed
RIDE000028,user14430,CP00549,8/2/2025,"Jubilee Hills, Hyderabad","Gachibowli, Hyderabad",15.47,120,completed
RIDE000029,user03349,CP02255,7/31/2025,"Indiranagar, Bangalore","Koramangala, Bangalore",11.09,84,cancelled
RIDE000030,user00368,CP00598,6/22/2025,"Whitefield, Bangalore","Koramangala, Bangalore",16.21,91,completed
RIDE000031,user12701,CP01214,2025-07-01,"Indiranagar, Bangalore","Koramangala, Bangalore",2.8,16,cancelled
RIDE000032,user03652,CP00783,2025-05-11,"Koramangala, Bangalore","MG Road, Bangalore",4.74,24,completed
RIDE000033,user05636,CP01066,2025-08-16,"Indiranagar, Bangalore","Koramangala, Bangalore",11.28,68,completed
RIDE000034,user06202,CP00856,2025-07-18,"Jubilee Hills, Hyderabad","Secunderabad, Hyderabad",10.3,112,completed
RIDE000035,user09067,CP00506,2025-07-12,"Koramangala, Bangalore","Jayanagar, Bangalore",8.58,65,completed
RIDE000036,user11504,CP00951,8/31/2025,"Koramangala, Bangalore","Whitefield, Bangalore",13.62,103,completed
RIDE000037,user03956,CP00251,07/04/2025,"Koramangala, Bangalore","MG Road, Bangalore",7.64,55,completed
RIDE000038,user10187,CP01217,6/29/2025,"Whitefield, Bangalore","Indiranagar, Bangalore",8.82,98,completed
RIDE000039,user03795,CP00833,2025-08-03,"Jubilee Hills, Hyderabad","Charminar, Hyderabad",2.81,18,completed
RIDE000040,user07220,CP02486,2025-08-31,"Charminar, Hyderabad","Gachibowli, Hyderabad",9.6,81,cancelled
RIDE000041,user06617,CP02025,8/15/2025,"Banjara Hills, Hyderabad","Gachibowli, Hyderabad",5.35,37,completed
RIDE000042,user01783,CP01193,8/22/2025,"Indiranagar, Bangalore","Whitefield, Bangalore",14.2,103,completed
RIDE000043,user09867,CP01689,6/4/2025,"Koramangala, Bangalore","Whitefield, Bangalore",12.02,103,completed
RIDE000044,user02540,CP00280,2025-06-22,"Banjara Hills, Hyderabad","Jubilee Hills, Hyderabad",10.62,111,completed
RIDE000045,user04785,CP00068,8/12/2025,"Gachibowli, Hyderabad","Charminar, Hyderabad",9.87,73,completed
RIDE000046,user09438,CP01802,2025-06-29,"Gachibowli, Hyderabad","Charminar, Hyderabad",15.59,87,completed
RIDE000047,user03687,CP01843,8/27/2025,"Indiranagar, Bangalore","Whitefield, Bangalore",17.13,120,completed
RIDE000048,user02250,CP02031,7/22/2025,"Whitefield, Bangalore","Jayanagar, Bangalore",13.94,83,completed
RIDE000049,user08832,CP00702,8/9/2025,"Banjara Hills, Hyderabad","Gachibowli, Hyderabad",11.28,76,completed
RIDE000050,user10827,CP00628,8/24/2025,"Secunderabad, Hyderabad","Gachibowli, Hyderabad",6.62,37,completed
RIDE000051,user05563,CP01925,8/9/2025,"Jubilee Hills, Hyderabad","Charminar, Hyderabad",3.73,31,completed
RIDE000052,user12710,CP00556,2025-06-29,"Banjara Hills, Hyderabad","Secunderabad, Hyderabad",5.33,39,completed
RIDE000053,user01109,CP00905,2025-06-20,"Gachibowli, Hyderabad","Jubilee Hills, Hyderabad",2.83,20,completed
RIDE000054,user10365,CP00129,2025-07-06,"Banjara Hills, Hyderabad","Gachibowli, Hyderabad",13.71,120,completed
RIDE000055,user07087,CP01767,2025-08-23,"Jubilee Hills, Hyderabad","Gachibowli, Hyderabad",5.41,42,completed
RIDE000056,user07550,CP02490,07/21/2025,"Secunderabad, Hyderabad","Charminar, Hyderabad",15.49,113,completed
RIDE000057,user08259,CP01549,2025-07-21,"Indiranagar, Bangalore","Whitefield, Bangalore",15.76,75,completed
RIDE000058,user12538,CP02291,2025-07-08,"Jubilee Hills, Hyderabad","Gachibowli, Hyderabad",8.46,65,completed
RIDE000059,user06287,CP01045,8/15/2025,"Banjara Hills, Hyderabad","Jubilee Hills, Hyderabad",7.47,46,completed
RIDE000060,user10899,CP02009,8/12/2025,"Secunderabad, Hyderabad","Charminar, Hyderabad",6.58,43,cancelled
RIDE000061,user13089,CP02105,8/30/2025,"Whitefield, Bangalore","MG Road, Bangalore",4.3,48,completed
,user08174,CP00491,06/13/2025,"Banjara Hills, Hyderabad","Jubilee Hills, Hyderabad",6.95,37,completed
RIDE000063,user00020,CP01400,5/21/2025,"Gachibowli, Hyderabad","Charminar, Hyderabad",10.51,68,completed
RIDE000064,user04219,CP02127,8/14/2025,"Koramangala, Bangalore","Jayanagar, Bangalore",7.35,54,completed
RIDE000065,user09034,CP02227,8/22/2025,"Indiranagar, Bangalore","Jayanagar, Bangalore",8.93,47,completed
RIDE000066,user03240,CP00442,6/15/2025,"MG Road, Bangalore","Whitefield, Bangalore",9.85,83,completed
RIDE000067,user11326,CP00098,2025-09-01,"Secunderabad, Hyderabad","Banjara Hills, Hyderabad",10.02,110,cancelled
RIDE000068,user09480,CP01944,8/6/2025,"Koramangala, Bangalore","MG Road, Bangalore",14.44,92,completed
RIDE000069,user08133,CP00073,8/30/2025,"Koramangala, Bangalore","MG Road, Bangalore",5.22,43,completed
RIDE000070,user12684,CP00021,2025-07-25,"Gachibowli, Hyderabad","Banjara Hills, Hyderabad",13.35,70,completed
,user13738,CP02359,2025-08-13,"Koramangala, Bangalore","Whitefield, Bangalore",4.63,33,completed
RIDE000072,user11095,CP02214,8/30/2025,"Secunderabad, Hyderabad","Banjara Hills, Hyderabad",14.53,120,completed
RIDE000073,user00411,CP00366,7/13/2025,"Whitefield, Bangalore","MG Road, Bangalore",3.82,19,completed
RIDE000074,user08192,CP02128,8/13/2025,"Jubilee Hills, Hyderabad","Banjara Hills, Hyderabad",5.45,38,cancelled
RIDE000075,user11893,CP02085,7/14/2025,"Charminar, Hyderabad","Gachibowli, Hyderabad",10.26,81,completed
RIDE000076,user02809,CP00908,2025-07-13,"Gachibowli, Hyderabad","Jubilee Hills, Hyderabad",6.4,56,completed
RIDE000077,user14199,CP00608,8/28/2025,"Indiranagar, Bangalore","MG Road, Bangalore",15.3,79,completed
,user02891,CP01082,6/29/2025,"Banjara Hills, Hyderabad","Secunderabad, Hyderabad",12.44,109,completed
RIDE000079,user05406,CP01378,2025-07-05,"Koramangala, Bangalore","Whitefield, Bangalore",10.29,69,completed
RIDE000080,user10135,CP02061,2025-08-02,"Banjara Hills, Hyderabad","Gachibowli, Hyderabad",6.28,50,cancelled
RIDE000081,user08871,CP02202,5/11/2025,"Whitefield, Bangalore","Koramangala, Bangalore",3.78,25,completed
RIDE000082,user11636,CP02327,08/25/2025,"Jayanagar, Bangalore","Whitefield, Bangalore",6.05,50,completed
RIDE000083,user12794,CP01728,7/27/2025,"Banjara Hills, Hyderabad","Charminar, Hyderabad",8.45,73,completed
RIDE000084,user06214,CP01555,2025-06-26,"Koramangala, Bangalore","Whitefield, Bangalore",9.66,58,completed
RIDE000085,user00887,CP01111,8/26/2025,"Banjara Hills, Hyderabad","Secunderabad, Hyderabad",8.2,88,completed
RIDE000086,user04049,CP00650,7/21/2025,"Koramangala, Bangalore","Indiranagar, Bangalore",9.79,60,completed
,user14627,CP00796,8/10/2025,"Banjara Hills, Hyderabad","Jubilee Hills, Hyderabad",14.15,74,completed
RIDE000088,user07442,CP00063,6/8/2025,"Jubilee Hills, Hyderabad","Banjara Hills, Hyderabad",10.68,119,completed
RIDE000089,user10457,CP00262,07/28/2025,"Koramangala, Bangalore","Whitefield, Bangalore",2.22,13,completed
RIDE000090,user10521,CP01866,7/10/2025,"Gachibowli, Hyderabad","Jubilee Hills, Hyderabad",9.5,78,cancelled
RIDE000091,user10968,CP01697,8/26/2025,"Koramangala, Bangalore","MG Road, Bangalore",8.18,52,completed
RIDE000092,user07045,CP00672,6/29/2025,"Koramangala, Bangalore","Whitefield, Bangalore",12.46,112,completed
RIDE000093,user10222,CP01620,2025-08-03,"MG Road, Bangalore","Indiranagar, Bangalore",6.21,53,completed
RIDE000094,user13390,CP02279,8/4/2025,"Indiranagar, Bangalore","Jayanagar, Bangalore",9.78,52,completed
RIDE000095,user14983,CP00043,8/28/2025,"Koramangala, Bangalore","Indiranagar, Bangalore",14.31,115,cancelled
RIDE000096,user07550,CP01426,2025-07-25,"Banjara Hills, Hyderabad","Secunderabad, Hyderabad",14.68,60,completed
RIDE000097,user07974,CP02243,8/27/2025,"MG Road, Bangalore","Koramangala, Bangalore",8.03,44,completed
RIDE000098,user13052,CP02354,7/26/2025,"Jayanagar, Bangalore","MG Road, Bangalore",2.33,23,completed
RIDE000099,user12723,CP01818,6/8/2025,"Indiranagar, Bangalore","Whitefield, Bangalore",14.75,102,completed
RIDE000100,user12257,CP01298,7/26/2025,"Indiranagar, Bangalore","Whitefield, Bangalore",4.82,57,completed
RIDE000101,user08183,CP01384,8/30/2025,"Banjara Hills, Hyderabad","Gachibowli, Hyderabad",13.72,120,cancelled
RIDE000102,user05628,CP00355,8/28/2025,"Banjara Hills, Hyderabad","Gachibowli, Hyderabad",8.64,51,completed
RIDE000103,user04313,CP01368,2025-06-19,"Gachibowli, Hyderabad","Banjara Hills, Hyderabad",2.4,21,completed
RIDE000104,user05849,CP01094,2025-06-12,"Indiranagar, Bangalore","MG Road, Bangalore",9.05,70,completed
RIDE000105,user02900,CP00102,2025-08-29,"Indiranagar, Bangalore","Whitefield, Bangalore",13.04,67,completed
RIDE000106,user08869,CP00531,8/11/2025,"Banjara Hills, Hyderabad","Gachibowli, Hyderabad",3.65,31,completed
,user05176,CP02375,05/25/2025,"Banjara Hills, Hyderabad","Gachibowli, Hyderabad",2.51,21,completed
RIDE000108,user06976,CP01474,8/24/2025,"Koramangala, Bangalore","Whitefield, Bangalore",2.49,14,completed
,user08037,CP02324,7/12/2025,"Koramangala, Bangalore","Whitefield, Bangalore",9.78,49,completed
,user00912,CP02238,7/23/2025,"Gachibowli, Hyderabad","Banjara Hills, Hyderabad",17.88,102,completed
RIDE000111,user12038,CP00702,8/28/2025,"Gachibowli, Hyderabad","Jubilee Hills, Hyderabad",15.28,120,completed
RIDE000112,user12848,CP00847,5/30/2025,"Whitefield, Bangalore","Jayanagar, Bangalore",8.42,50,cancelled
RIDE000113,user04994,CP01940,8/2/2025,"Koramangala, Bangalore","Indiranagar, Bangalore",13.1,120,completed
RIDE000114,user04835,CP00859,7/21/2025,"Banjara Hills, Hyderabad","Secunderabad, Hyderabad",6.1,54,completed
RIDE000115,user05342,CP00385,2025-07-28,"Indiranagar, Bangalore","Koramangala, Bangalore",16.53,120,completed
RIDE000116,user11111,CP00995,2025-08-30,"Banjara Hills, Hyderabad","Gachibowli, Hyderabad",6.45,37,completed
RIDE000117,user02130,CP02239,8/7/2025,"MG Road, Bangalore","Whitefield, Bangalore",10.7,84,completed
RIDE000118,user04193,CP00680,8/17/2025,"Indiranagar, Bangalore","Koramangala, Bangalore",11.85,102,completed
RIDE000119,user12727,CP01135,8/1/2025,"Banjara Hills, Hyderabad","Gachibowli, Hyderabad",10.99,86,completed
RIDE000120,user03968,CP02353,2025-08-24,"Jubilee Hills, Hyderabad","Secunderabad, Hyderabad",7.2,55,completed
RIDE000121,user00393,CP00714,8/2/2025,"Gachibowli, Hyderabad","Secunderabad, Hyderabad",11.75,93,completed
RIDE000122,user12566,CP01868,2025-08-29,"Secunderabad, Hyderabad","Jubilee Hills, Hyderabad",13.15,115,completed
RIDE000123,user13448,CP02101,8/1/2025,"Banjara Hills, Hyderabad","Jubilee Hills, Hyderabad",13.85,77,completed
RIDE000124,user14560,CP00111,08/30/2025,"MG Road, Bangalore","Koramangala, Bangalore",8.52,69,completed
RIDE000125,user02323,CP00601,,"Whitefield, Bangalore","Indiranagar, Bangalore",9.8,54,completed
RIDE000126,user09270,CP02251,2025-07-21,"Koramangala, Bangalore","Whitefield, Bangalore",9.7,63,completed
RIDE000127,user10314,CP01328,8/16/2025,"Gachibowli, Hyderabad","Jubilee Hills, Hyderabad",9.41,56,completed
RIDE000128,user07058,CP02473,2025-08-31,"Banjara Hills, Hyderabad","Gachibowli, Hyderabad",7.89,79,completed
RIDE000129,user12230,CP01427,7/8/2025,"Koramangala, Bangalore","Whitefield, Bangalore",9.53,86,cancelled
RIDE000130,user11832,CP02223,,"Koramangala, Bangalore","Whitefield, Bangalore",8.61,63,completed
RIDE000131,user01107,CP00292,07/30/2025,"MG Road, Bangalore","Whitefield, Bangalore",16.07,116,completed
RIDE000132,user03461,CP00421,7/25/2025,"Koramangala, Bangalore","MG Road, Bangalore",5.19,32,completed
RIDE000133,user04367,CP01805,08/26/2025,"Koramangala, Bangalore","MG Road, Bangalore",2.56,26,completed
RIDE000134,user00313,CP02041,8/16/2025,"Koramangala, Bangalore","Indiranagar, Bangalore",9.72,45,completed
RIDE000135,user06144,CP01923,6/9/2025,"Charminar, Hyderabad","Gachibowli, Hyderabad",3.15,18,completed
RIDE000136,user03135,CP00543,6/2/2025,"Jayanagar, Bangalore","Indiranagar, Bangalore",3.57,35,completed
RIDE000137,user01844,CP00944,,"Secunderabad, Hyderabad","Jubilee Hills, Hyderabad",5.54,37,cancelled
RIDE000138,user00802,CP01210,06/24/2025,"Charminar, Hyderabad","Jubilee Hills, Hyderabad",13.43,106,cancelled
RIDE000139,user14241,CP00710,8/11/2025,"Koramangala, Bangalore","Indiranagar, Bangalore",15.93,120,completed
RIDE000140,user12568,CP00465,8/6/2025,"Banjara Hills, Hyderabad","Jubilee Hills, Hyderabad",11.34,95,completed
RIDE000141,user11421,CP00817,6/2/2025,"Jubilee Hills, Hyderabad","Banjara Hills, Hyderabad",15.16,120,completed
RIDE000142,user13618,CP00334,2025-08-22,"Charminar, Hyderabad","Gachibowli, Hyderabad",7.74,52,completed
RIDE000143,user01531,CP02217,2025-08-28,"Banjara Hills, Hyderabad","Gachibowli, Hyderabad",11.48,111,completed
RIDE000144,user14733,CP01630,,"Banjara Hills, Hyderabad","Jubilee Hills, Hyderabad",8.5,57,completed
RIDE000145,user13735,CP00208,6/7/2025,"Banjara Hills, Hyderabad","Gachibowli, Hyderabad",16.7,120,completed
RIDE000146,user06838,CP00234,7/20/2025,"Banjara Hills, Hyderabad","Jubilee Hills, Hyderabad",5.89,49,completed
RIDE000147,user05271,CP00471,8/18/2025,"Indiranagar, Bangalore","Jayanagar, Bangalore",14.61,120,completed
RIDE000148,user05686,CP01176,07/17/2025,"Banjara Hills, Hyderabad","Jubilee Hills, Hyderabad",14.93,96,completed
RIDE000149,user05662,CP00204,06/14/2025,"Whitefield, Bangalore","Jayanagar, Bangalore",7.06,46,completed
RIDE000150,user04927,CP00446,08/29/2025,"Jayanagar, Bangalore","Indiranagar, Bangalore",6.09,40,completed
,user03270,CP01450,7/27/2025,"Whitefield, Bangalore","Koramangala, Bangalore",15.77,120,completed
RIDE000152,user00786,CP02344,2025-08-21,"Koramangala, Bangalore","MG Road, Bangalore",10.37,66,completed
RIDE000153,user05728,CP02331,06/20/2025,"Koramangala, Bangalore","Whitefield, Bangalore",8.61,74,completed
RIDE000154,user03982,CP00042,2025-08-26,"Jubilee Hills, Hyderabad","Banjara Hills, Hyderabad",16,84,completed
RIDE000155,user11006,CP00290,06/27/2025,"Indiranagar, Bangalore","MG Road, Bangalore",12.87,71,cancelled
RIDE000156,user03155,CP01503,8/27/2025,"Banjara Hills, Hyderabad","Gachibowli, Hyderabad",6.26,43,completed
RIDE000157,user02149,CP00827,2025-08-17,"Jayanagar, Bangalore","Indiranagar, Bangalore",14.71,120,completed
RIDE000158,user01933,CP02398,7/9/2025,"Jubilee Hills, Hyderabad","Charminar, Hyderabad",12.63,106,completed
RIDE000159,user06036,CP01123,08/28/2025,"MG Road, Bangalore","Jayanagar, Bangalore",11.62,102,completed
RIDE000160,user02044,CP00781,08/25/2025,"Indiranagar, Bangalore","Whitefield, Bangalore",16.32,101,completed
RIDE000161,user06240,CP01268,8/16/2025,"Banjara Hills, Hyderabad","Gachibowli, Hyderabad",15.74,82,completed
RIDE000162,user03175,CP00525,7/21/2025,"Jayanagar, Bangalore","Whitefield, Bangalore",14.6,120,cancelled
RIDE000163,user14931,CP01021,,"Koramangala, Bangalore","MG Road, Bangalore",13.66,81,cancelled
RIDE000164,user12864,CP01569,,"Secunderabad, Hyderabad","Banjara Hills, Hyderabad",15.31,84,completed
RIDE000165,user00337,CP02023,2025-08-30,"Gachibowli, Hyderabad","Banjara Hills, Hyderabad",2.09,13,completed
RIDE000166,user14492,CP00435,8/7/2025,"Jayanagar, Bangalore","Koramangala, Bangalore",8.54,85,completed
RIDE000167,user12213,CP01070,8/30/2025,"Jubilee Hills, Hyderabad","Secunderabad, Hyderabad",14.37,103,completed
RIDE000168,user13069,CP01520,2025-07-06,"MG Road, Bangalore","Koramangala, Bangalore",15.38,93,completed
,user03486,CP01652,8/25/2025,"Koramangala, Bangalore","Whitefield, Bangalore",8.1,50,completed
RIDE000170,user12156,CP02321,2025-08-20,"Banjara Hills, Hyderabad","Charminar, Hyderabad",10.32,87,completed
RIDE000171,user01576,CP01373,8/30/2025,"Gachibowli, Hyderabad","Banjara Hills, Hyderabad",11.06,68,cancelled
RIDE000172,user06279,CP01417,8/2/2025,"Gachibowli, Hyderabad","Jubilee Hills, Hyderabad",8.45,67,cancelled
RIDE000173,user11948,CP00629,2025-08-27,"Indiranagar, Bangalore","MG Road, Bangalore",14.64,87,completed
RIDE000174,user10171,CP02450,8/9/2025,"Secunderabad, Hyderabad","Charminar, Hyderabad",8.28,84,completed
RIDE000175,user13840,CP00344,8/16/2025,"MG Road, Bangalore","Indiranagar, Bangalore",3.86,27,completed
RIDE000176,user14461,CP00864,8/19/2025,"Banjara Hills, Hyderabad","Gachibowli, Hyderabad",5.93,44,completed
RIDE000177,user09597,CP00091,2025-06-04,"Koramangala, Bangalore","Whitefield, Bangalore",13.87,120,completed
RIDE000178,user02416,CP02326,2025-08-12,"Koramangala, Bangalore","Jayanagar, Bangalore",7.87,71,completed
RIDE000179,user12790,CP01168,2025-07-18,"Secunderabad, Hyderabad","Gachibowli, Hyderabad",13.69,88,completed
RIDE000180,user08739,CP01147,8/27/2025,"Koramangala, Bangalore","Indiranagar, Bangalore",15.12,120,completed
RIDE000181,user09904,CP00999,8/31/2025,"Koramangala, Bangalore","MG Road, Bangalore",6.3,55,completed
RIDE000182,user02769,CP01342,2025-08-06,"Jubilee Hills, Hyderabad","Banjara Hills, Hyderabad",2.64,13,completed
RIDE000183,user03163,CP02053,2025-08-28,"Banjara Hills, Hyderabad","Jubilee Hills, Hyderabad",10.23,71,completed
RIDE000184,user02415,CP01776,8/23/2025,"Banjara Hills, Hyderabad","Secunderabad, Hyderabad",12.73,74,completed
RIDE000185,user13618,CP00409,8/18/2025,"Jubilee Hills, Hyderabad","Banjara Hills, Hyderabad",2.02,16,completed
RIDE000186,user13379,CP01910,,"Koramangala, Bangalore","Jayanagar, Bangalore",9.01,65,completed
RIDE000187,user02383,CP02362,8/7/2025,"Banjara Hills, Hyderabad","Secunderabad, Hyderabad",11.73,80,completed
RIDE000188,user08777,CP00873,2025-08-31,"Koramangala, Bangalore","Whitefield, Bangalore",2.16,11,completed
RIDE000189,user02088,CP00366,7/1/2025,"Whitefield, Bangalore","Koramangala, Bangalore",4.47,43,cancelled
RIDE000190,user10491,CP00465,5/22/2025,"Banjara Hills, Hyderabad","Jubilee Hills, Hyderabad",7.78,42,completed
RIDE000191,user08800,CP01566,2025-07-22,"Jubilee Hills, Hyderabad","Gachibowli, Hyderabad",4.94,41,completed
RIDE000192,user01835,CP00124,2025-07-08,"Whitefield, Bangalore","MG Road, Bangalore",7.63,44,cancelled
RIDE000193,user04152,CP02213,08/06/2025,"Jayanagar, Bangalore","Koramangala, Bangalore",3.21,27,completed
RIDE000194,user13345,CP01017,8/20/2025,"Jubilee Hills, Hyderabad","Gachibowli, Hyderabad",9.73,63,completed
,user06351,CP00470,8/28/2025,"Secunderabad, Hyderabad","Jubilee Hills, Hyderabad",9.53,70,completed
RIDE000196,user14061,CP02308,2025-08-07,"Secunderabad, Hyderabad","Banjara Hills, Hyderabad",11.71,103,completed
RIDE000197,user02633,CP01427,8/15/2025,"Indiranagar, Bangalore","Whitefield, Bangalore",6.83,39,completed
RIDE000198,user06639,CP02351,8/7/2025,"Jayanagar, Bangalore","Koramangala, Bangalore",13.44,120,completed
RIDE000199,user14639,CP01234,7/18/2025,"Gachibowli, Hyderabad","Banjara Hills, Hyderabad",12.85,76,cancelled
RIDE000200,user09262,CP00866,8/31/2025,"Indiranagar, Bangalore","Jayanagar, Bangalore",14.11,107,completed
RIDE000201,user13116,CP00163,7/20/2025,"Banjara Hills, Hyderabad","Gachibowli, Hyderabad",9.62,87,completed
RIDE000202,user10735,CP01351,8/17/2025,"MG Road, Bangalore","Indiranagar, Bangalore",7.3,54,completed
RIDE000203,user09825,CP00209,7/3/2025,"Jayanagar, Bangalore","Whitefield, Bangalore",12.74,120,completed
RIDE000204,user05630,CP00064,8/17/2025,"MG Road, Bangalore","Whitefield, Bangalore",8.6,70,completed
RIDE000205,user14245,CP02026,08/14/2025,"Jayanagar, Bangalore","MG Road, Bangalore",3.4,29,completed
RIDE000206,user00707,CP00608,8/29/2025,"Indiranagar, Bangalore","Whitefield, Bangalore",8.91,57,completed
RIDE000207,user05191,CP00081,8/6/2025,"Koramangala, Bangalore","Indiranagar, Bangalore",11.48,92,completed
RIDE000208,user01321,CP02452,8/24/2025,"Banjara Hills, Hyderabad","Gachibowli, Hyderabad",17.66,120,completed
RIDE000209,user05716,CP01000,2025-08-31,"Gachibowli, Hyderabad","Secunderabad, Hyderabad",13.5,104,completed
RIDE000210,user10816,CP00219,2025-08-05,"Whitefield, Bangalore","Koramangala, Bangalore",15.31,120,completed
RIDE000211,user06283,CP00106,8/27/2025,"Koramangala, Bangalore","MG Road, Bangalore",7.81,68,completed
RIDE000212,user05931,CP02106,8/21/2025,"Banjara Hills, Hyderabad","Jubilee Hills, Hyderabad",12.44,67,completed
RIDE000213,user14148,CP02398,2025-08-03,"Jubilee Hills, Hyderabad","Banjara Hills, Hyderabad",17.03,81,completed
RIDE000214,user05732,CP02098,7/21/2025,"Indiranagar, Bangalore","MG Road, Bangalore",3.95,22,completed
RIDE000215,user07382,CP02193,2025-09-01,"Charminar, Hyderabad","Gachibowli, Hyderabad",10.88,86,completed
RIDE000216,user04593,CP01196,2025-08-08,"Charminar, Hyderabad","Gachibowli, Hyderabad",5.57,42,cancelled
RIDE000217,user05358,CP02172,,"Banjara Hills, Hyderabad","Gachibowli, Hyderabad",5.06,48,completed
RIDE000218,user10138,CP01860,8/29/2025,"Jubilee Hills, Hyderabad","Secunderabad, Hyderabad",12.54,61,completed
RIDE000219,user01559,CP02082,6/26/2025,"Gachibowli, Hyderabad","Secunderabad, Hyderabad",3.6,30,completed
RIDE000220,user07586,CP00108,5/18/2025,"Koramangala, Bangalore","MG Road, Bangalore",14.14,117,completed
RIDE000221,user06290,CP00594,7/21/2025,"Charminar, Hyderabad","Secunderabad, Hyderabad",4.89,36,completed
RIDE000222,user13246,CP01489,2025-08-01,"Koramangala, Bangalore","Whitefield, Bangalore",17.02,120,completed
RIDE000223,user08739,CP00837,8/28/2025,"Indiranagar, Bangalore","MG Road, Bangalore",5.69,53,completed
RIDE000224,user10997,CP00390,8/23/2025,"Indiranagar, Bangalore","Koramangala, Bangalore",11.83,102,completed
RIDE000225,user09320,CP01587,6/16/2025,"Jayanagar, Bangalore","MG Road, Bangalore",9.72,62,completed
RIDE000226,user10959,CP00651,2025-08-30,"Gachibowli, Hyderabad","Secunderabad, Hyderabad",2.41,20,completed
RIDE000227,user02462,CP00914,8/30/2025,"Indiranagar, Bangalore","Whitefield, Bangalore",13.79,109,completed
RIDE000228,user02751,CP00445,7/19/2025,"Koramangala, Bangalore","Indiranagar, Bangalore",4.38,36,completed
RIDE000229,user10163,CP00757,,"Indiranagar, Bangalore","MG Road, Bangalore",17.92,120,completed
,user00913,CP00054,2025-08-24,"Gachibowli, Hyderabad","Jubilee Hills, Hyderabad",17.21,120,completed
RIDE000231,user00294,CP01627,2025-07-18,"Secunderabad, Hyderabad","Banjara Hills, Hyderabad",9.45,88,completed
RIDE000232,user12805,CP00849,2025-08-24,"Koramangala, Bangalore","MG Road, Bangalore",15.66,100,completed
RIDE000233,user08727,CP01699,8/15/2025,"Gachibowli, Hyderabad","Charminar, Hyderabad",4.41,38,completed
RIDE000234,user08999,CP00425,07/18/2025,"Jubilee Hills, Hyderabad","Banjara Hills, Hyderabad",4.03,17,completed
RIDE000235,user12402,CP01745,2025-09-01,"Banjara Hills, Hyderabad","Gachibowli, Hyderabad",17.56,115,completed
