payment_id,ride_id,payment_method,fare,discount_percent,discount_amount,final_amount,payment_status
PAY000157,RIDE000167,Cash,410.48,0,0,410.48,Paid
PAY000158,RIDE000168,Wallet,410.97,17.94,73.73,337.24,Paid
PAY000159,RIDE000170,Wallet,294.49,17.2,50.64,243.85,Paid
PAY000160,RIDE000171,Wallet,325.55,0,0,325.55,Pending
PAY000161,RIDE000172,UPI,218.74,0,0,218.74,Paid
PAY000162,RIDE000173,Wallet,401.5,0,0,401.5,Paid
PAY000163,RIDE000174,Wallet,210.61,0,0,210.61,Paid
PAY000164,RIDE000175,Cash,104.36,0,0,104.36,Paid
PAY000165,RIDE000176,Wallet,150.45,0,0,150.45,Paid
PAY000166,RIDE000177,UPI,384.02,0,0,384.02,Paid
PAY000167,RIDE000178,Cash,219.21,0,0,219.21,Paid
PAY000168,RIDE000179,Cash,354.98,0,0,354.98,Paid
PAY000169,RIDE000180,Card,418.68,23.84,99.83,318.85,Paid
PAY000170,RIDE000181,Cash,179.67,0,0,179.67,Paid
PAY000171,RIDE000182,UPI,72.64,12.39,9,63.64,Paid
PAY000172,RIDE000183,Cash,294.32,0,0,294.32,Paid
PAY000173,RIDE000184,Cash,359.3,0,0,359.3,Paid
PAY000174,RIDE000185,Card,56.87,11.21,6.37,50.5,Paid
PAY000175,RIDE000186,Cash,248.72,0,0,248.72,Paid
PAY000176,RIDE000187,Wallet,336.22,16.97,57.05,279.17,Paid
PAY000177,RIDE000188,Card,57.74,11.43,6.6,51.14,Paid
PAY000178,RIDE000189,Card,128.07,0,0,128.07,Paid
PAY000179,RIDE000190,Wallet,194.76,0,0,194.76,Paid
PAY000180,RIDE000191,Cash,127.28,0,0,127.28,Paid
PAY000181,RIDE000192,Card,226.69,0,0,226.69,Paid
PAY000182,RIDE000193,UPI,91.46,12.57,11.5,79.96,Paid
PAY000183,RIDE000194,UPI,288.19,10.45,30.12,258.07,Paid
PAY000184,RIDE000196,Wallet,316.77,21.51,68.13,248.64,Paid
PAY000185,RIDE000197,UPI,191.18,0,0,191.18,Paid
PAY000186,RIDE000198,Cash,357.92,0,0,357.92,Paid
PAY000187,RIDE000199,Card,329.55,15.17,50,279.55,Paid
PAY000188,RIDE000200,Wallet,393.63,13.67,53.81,339.82,Paid
PAY000189,RIDE000201,UPI,264.68,13.25,35.07,229.61,Paid
PAY000190,RIDE000202,Wallet,204.3,0,0,204.3,Paid
PAY000191,RIDE000203,Card,340.2,0,0,340.2,Paid
PAY000192,RIDE000204,Cash,254.46,24.61,62.62,191.84,Paid
PAY000193,RIDE000205,Card,100.56,18.42,18.52,82.04,Paid
PAY000194,RIDE000206,Wallet,251.51,0,0,251.51,Paid
PAY000195,RIDE000207,Card,326.31,12.06,39.35,286.96,Paid
PAY000196,RIDE000208,Wallet,462.34,10.56,48.84,413.5,Paid
PAY000197,RIDE000209,Cash,395.14,22.81,90.14,305,Paid
PAY000198,RIDE000210,Card,400.65,0,0,400.65,Paid
PAY000199,RIDE000211,Wallet,211.49,0,0,211.49,Paid
PAY000200,RIDE000212,Cash,324.44,16.06,52.11,272.33,Paid
PAY000201,RIDE000213,UPI,428.6,0,0,428.6,Paid
PAY000202,RIDE000214,UPI,100.22,0,0,100.22,Paid
PAY000203,RIDE000215,Wallet,282.13,0,0,282.13,Paid
PAY000204,RIDE000216,UPI,157.08,19.89,31.25,125.83,Paid
PAY000205,RIDE000217,Cash,150.22,0,0,150.22,Paid
PAY000206,RIDE000218,Wallet,356.31,24.5,87.3,269.01,Pending
PAY000207,RIDE000219,Card,94.37,0,0,94.37,Pending
PAY000208,RIDE000220,Wallet,414.58,0,0,414.58,Paid
PAY000209,RIDE000221,Cash,127.42,23,29.31,98.11,Paid
PAY000210,RIDE000222,Cash,429.01,0,0,429.01,Paid
PAY000211,RIDE000223,Card,146.97,0,0,146.97,Paid
PAY000212,RIDE000224,Wallet,333.3,0,0,333.3,Paid
PAY000213,RIDE000225,Card,283.13,20.18,57.14,225.99,Paid
PAY000214,RIDE000226,Wallet,68.97,0,0,68.97,Paid
PAY000215,RIDE000227,Wallet,375.32,0,0,375.32,Paid
PAY000216,RIDE000228,Wallet,122.17,23.42,28.61,93.56,Paid
PAY000217,RIDE000229,UPI,451.22,0,0,451.22,Paid
PAY000218,RIDE000231,Wallet,245.21,20.81,51.03,194.18,Paid
PAY000219,RIDE000232,Cash,410.48,0,0,410.48,Paid
PAY000220,RIDE000233,Card,127.07,21.08,26.78,100.29,Paid
PAY000221,RIDE000234,Wallet,108.16,15,16.22,91.94,Paid
PAY000222,RIDE000235,UPI,502.19,13.55,68.03,434.16,Paid
PAY000223,RIDE000236,UPI,133.89,18.17,24.33,109.56,Paid
PAY000224,RIDE000237,Cash,337.62,0,0,337.62,Paid
PAY000225,RIDE000238,Wallet,427.34,0,0,427.34,Paid
PAY000226,RIDE000239,UPI,115.01,0,0,115.01,Paid
PAY000227,RIDE000240,Wallet,171.33,17.95,30.76,140.57,Paid
PAY000228,RIDE000241,UPI,113.47,0,0,113.47,Paid
PAY000229,RIDE000242,Cash,100.34,19.67,19.73,80.61,Paid
PAY000230,RIDE000243,Card,452.82,24.36,110.28,342.54,Paid
PAY000231,RIDE000244,Cash,376.3,0,0,376.3,Paid
PAY000232,RIDE000245,Card,253.1,0,0,253.1,Paid
PAY000233,RIDE000246,Cash,99.22,0,0,99.22,Paid
PAY000234,RIDE000247,UPI,115.93,0,0,115.93,Paid
PAY000235,RIDE000248,Cash,355.79,0,0,355.79,Paid
PAY000236,RIDE000249,Wallet,278.09,0,0,278.09,Paid
PAY000237,RIDE000250,Wallet,279.27,18.38,51.34,227.93,Paid
PAY000238,RIDE000251,UPI,80.94,0,0,80.94,Paid
PAY000239,RIDE000252,Wallet,232.97,0,0,232.97,Paid
PAY000240,RIDE000253,Card,247.05,16.34,40.36,206.69,Paid
PAY000241,RIDE000254,Wallet,174.73,0,0,174.73,Paid
PAY000242,RIDE000255,UPI,476.81,0,0,476.81,Paid
PAY000243,RIDE000256,UPI,318.94,13.37,42.66,276.28,Paid
PAY000244,RIDE000257,Wallet,209.46,22.15,46.39,163.07,Paid
PAY000245,RIDE000258,Card,91.07,0,0,91.07,Paid
PAY000246,RIDE000259,Card,274.81,0,0,274.81,Paid
PAY000247,RIDE000260,UPI,373.76,0,0,373.76,Paid
PAY000248,RIDE000261,UPI,235.54,0,0,235.54,Paid
PAY000249,RIDE000262,Wallet,271.24,0,0,271.24,Paid
PAY000250,RIDE000263,Cash,123.73,0,0,123.73,Paid
PAY000251,RIDE000264,Card,312.36,0,0,312.36,Paid
PAY000252,RIDE000265,Cash,218.54,0,0,218.54,Paid
PAY000253,RIDE000266,Card,273.33,22.39,61.2,212.13,Paid
PAY000254,RIDE000267,Card,379.91,16.33,62.02,317.89,Paid
PAY000255,RIDE000268,Card,377.22,15.91,60.02,317.2,Paid
PAY000256,RIDE000269,Wallet,414.12,0,0,414.12,Paid
PAY000257,RIDE000270,Wallet,172.88,0,0,172.88,Paid
PAY000258,RIDE000271,Card,152.95,0,0,152.95,Paid
PAY000259,RIDE000272,UPI,412.93,0,0,412.93,Paid
PAY000260,RIDE000273,Card,298.52,11.04,32.96,265.56,Paid
PAY000261,RIDE000274,Card,58.01,17.5,10.15,47.86,Paid
PAY000262,RIDE000275,Cash,399.05,14.79,59.01,340.04,Paid
PAY000263,RIDE000276,Wallet,112.53,0,0,112.53,Paid
PAY000264,RIDE000277,Wallet,245.69,16.8,41.28,204.41,Paid
PAY000265,RIDE000278,Wallet,456.36,13.45,61.36,395,Paid
PAY000266,RIDE000279,Card,214.34,0,0,214.34,Paid
PAY000267,RIDE000280,Card,78.71,24.67,19.41,59.3,Paid
PAY000268,RIDE000281,Card,184.35,15.47,28.51,155.84,Paid
PAY000269,RIDE000282,Card,195.41,0,0,195.41,Paid
PAY000270,RIDE000283,Cash,245.24,18.37,45.05,200.19,Paid
PAY000271,RIDE000284,Card,152.07,18.61,28.29,123.78,Paid
PAY000272,RIDE000286,Card,403.68,23.38,94.37,309.31,Paid
PAY000273,RIDE000287,Cash,320.29,0,0,320.29,Paid
PAY000274,RIDE000288,Wallet,301.33,0,0,301.33,Paid
PAY000275,RIDE000289,Card,277.88,22.86,63.53,214.35,Paid
PAY000276,RIDE000290,Card,391.99,0,0,391.99,Paid
PAY000277,RIDE000291,Card,458.08,0,0,458.08,Paid
PAY000278,RIDE000292,Cash,84,0,0,84,Paid
PAY000279,RIDE000293,UPI,399.22,0,0,399.22,Pending
PAY000280,RIDE000294,UPI,319.34,17.11,54.63,264.71,Pending
PAY000281,RIDE000295,Cash,330.21,16.58,54.74,275.47,Paid
PAY000282,RIDE000296,Wallet,381.33,0,0,381.33,Paid
PAY000283,RIDE000297,UPI,475.35,0,0,475.35,Paid
PAY000284,RIDE000298,Wallet,265.41,14.36,38.12,227.29,Paid
PAY000285,RIDE000299,Cash,333.9,0,0,333.9,Paid
PAY000286,RIDE000301,Card,153.53,0,0,153.53,Paid
PAY000287,RIDE000302,Card,336.63,0,0,336.63,Paid
PAY000288,RIDE000303,Card,286.87,22.94,65.81,221.06,Paid
PAY000289,RIDE000304,UPI,135.43,19.11,25.88,109.55,Paid
PAY000290,RIDE000305,Wallet,179.57,0,0,179.57,Paid
PAY000291,RIDE000306,Wallet,89.43,0,0,89.43,Paid
PAY000292,RIDE000307,Wallet,77.92,0,0,77.92,Paid
PAY000293,RIDE000308,Card,221.86,0,0,221.86,Paid
PAY000294,RIDE000310,Wallet,192.5,0,0,192.5,Paid
PAY000295,RIDE000311,UPI,448.07,0,0,448.07,Paid
PAY000296,RIDE000312,Card,59.01,0,0,59.01,Paid
PAY000297,RIDE000313,Wallet,189.32,0,0,189.32,Paid
PAY000298,RIDE000314,Wallet,460.14,0,0,460.14,Paid
PAY000299,RIDE000315,UPI,422.82,0,0,422.82,Paid
PAY000300,RIDE000316,UPI,199.29,14.33,28.55,170.74,Paid
PAY000301,RIDE000317,Wallet,275.93,0,0,275.93,Paid
PAY000302,RIDE000318,UPI,385.8,0,0,385.8,Paid
PAY000303,RIDE000319,Card,118.83,0,0,118.83,Paid
PAY000304,RIDE000320,Wallet,369.95,12.67,46.86,323.09,Paid
PAY000305,RIDE000321,Wallet,419.1,15.21,63.76,355.34,Paid
PAY000306,RIDE000322,Cash,276.84,0,0,276.84,Paid
PAY000307,RIDE000323,UPI,141.02,19.52,27.53,113.49,Paid
PAY000308,RIDE000324,Card,376.02,0,0,376.02,Paid
PAY000309,RIDE000325,UPI,453.35,0,0,453.35,Paid
PAY000310,RIDE000326,Card,96.61,0,0,96.61,Paid
PAY000311,RIDE000327,Cash,295.96,24.37,72.12,223.84,Paid
PAY000312,RIDE000328,Card,217.25,23.82,51.76,165.49,Pending
PAY000313,RIDE000329,Cash,170.6,0,0,170.6,Paid
PAY000314,RIDE000330,Wallet,398.09,0,0,398.09,Paid
PAY000315,RIDE000331,Cash,276.01,0,0,276.01,Paid
PAY000316,RIDE000333,UPI,384.06,22.97,88.23,295.83,Paid
PAY000317,RIDE000334,Wallet,291.47,10.06,29.32,262.15,Pending
PAY000318,RIDE000335,UPI,56.08,10.9,6.11,49.97,Paid
PAY000319,RIDE000336,Card,94.57,0,0,94.57,Paid
PAY000320,RIDE000337,UPI,331.24,0,0,331.24,Paid
PAY000321,RIDE000338,Card,363.66,17.33,63.02,300.64,Paid
PAY000322,RIDE000339,UPI,246.22,16.26,40.03,206.19,Paid
PAY000323,RIDE000340,Wallet,226.18,24.57,55.58,170.6,Paid
PAY000324,RIDE000341,Card,449.21,19.61,88.09,361.12,Paid
PAY000325,RIDE000342,UPI,199.71,10.28,20.52,179.19,Paid
PAY000326,RIDE000343,Wallet,413.64,22.52,93.15,320.49,Paid
PAY000327,RIDE000344,UPI,259.97,14.4,37.43,222.54,Paid
PAY000328,RIDE000345,UPI,374.89,13,48.74,326.15,Paid
PAY000329,RIDE000346,Wallet,417.41,22.29,93.04,324.37,Paid
PAY000330,RIDE000347,Card,338.48,0,0,338.48,Paid
PAY000331,RIDE000348,UPI,174.22,23.99,41.8,132.42,Paid
PAY000332,RIDE000349,Wallet,219.99,19.68,43.29,176.7,Paid
PAY000333,RIDE000350,Card,291.62,18.73,54.62,237,Paid
PAY000334,RIDE000351,Cash,420.4,0,0,420.4,Paid
PAY000335,RIDE000352,UPI,129.04,22.84,29.48,99.56,Paid
PAY000336,RIDE000353,Wallet,293,23.21,68.01,224.99,Paid
PAY000337,RIDE000354,Wallet,221.44,17.75,39.31,182.13,Paid
PAY000338,RIDE000355,UPI,306.75,21.9,67.17,239.58,Paid
PAY000339,RIDE000356,Card,430.81,0,0,430.81,Paid
PAY000340,RIDE000358,UPI,230.08,0,0,230.08,Paid
PAY000341,RIDE000359,UPI,389.65,20.69,80.6,309.05,Paid
PAY000342,RIDE000360,Wallet,341.21,13.23,45.14,296.07,Pending
PAY000343,RIDE000361,UPI,109.1,0,0,109.1,Paid
PAY000344,RIDE000363,UPI,137.93,24.45,33.73,104.2,Paid
PAY000345,RIDE000364,Card,103.14,0,0,103.14,Paid
PAY000346,RIDE000365,Cash,97.28,0,0,97.28,Paid
PAY000347,RIDE000366,Card,296.29,0,0,296.29,Paid
PAY000348,RIDE000367,Card,464.05,24.91,115.58,348.47,Pending
PAY000349,RIDE000368,UPI,227.56,19.12,43.52,184.04,Paid
PAY000350,RIDE000369,Card,375.61,19.79,74.34,301.27,Paid
PAY000351,RIDE000370,UPI,494.79,0,0,494.79,Paid
PAY000352,RIDE000371,UPI,191.28,14.73,28.18,163.1,Pending
PAY000353,RIDE000372,UPI,236.19,0,0,236.19,Paid
PAY000354,RIDE000373,Wallet,139.45,12.99,18.11,121.34,Paid
PAY000355,RIDE000374,UPI,244.2,18.35,44.82,199.38,Paid
PAY000356,RIDE000375,Card,188.19,23.61,44.44,143.75,Paid
PAY000357,RIDE000376,Cash,399.46,0,0,399.46,Paid
PAY000358,RIDE000377,UPI,418.6,0,0,418.6,Paid
PAY000359,RIDE000378,Card,152.31,0,0,152.31,Pending
PAY000360,RIDE000380,Wallet,375.24,19.76,74.14,301.1,Paid
PAY000361,RIDE000382,Cash,112.82,20.76,23.42,89.4,Paid
PAY000362,RIDE000383,Card,114.77,0,0,114.77,Paid
PAY000363,RIDE000384,Card,301.44,0,0,301.44,Paid
PAY000364,RIDE000385,Cash,238.77,0,0,238.77,Paid
PAY000365,RIDE000386,Cash,430.64,15.26,65.73,364.91,Paid
PAY000366,RIDE000387,Cash,293.93,0,0,293.93,Paid
PAY000367,RIDE000388,Cash,440.47,0,0,440.47,Paid
PAY000368,RIDE000389,Cash,444.09,18.21,80.85,363.24,Paid
PAY000369,RIDE000390,Wallet,371.52,15.67,58.21,313.31,Paid
PAY000370,RIDE000391,UPI,386.72,10.44,40.38,346.34,Paid
PAY000371,RIDE000392,UPI,406.6,0,0,406.6,Paid
PAY000372,RIDE000393,Card,298.17,0,0,298.17,Paid
PAY000373,RIDE000394,Cash,108.69,0,0,108.69,Paid
PAY000374,RIDE000395,Wallet,190.26,13.13,24.97,165.29,Paid
PAY000375,RIDE000396,Cash,241.82,0,0,241.82,Paid
PAY000376,RIDE000397,Cash,70.57,0,0,70.57,Paid
PAY000377,RIDE000398,Cash,381.48,15.46,58.97,322.51,Paid
PAY000378,RIDE000399,Wallet,500.84,23.58,118.11,382.73,Paid
PAY000379,RIDE000400,UPI,232.28,0,0,232.28,Paid
PAY000380,RIDE000401,Wallet,180.32,0,0,180.32,Paid
PAY000381,RIDE000403,Cash,352.23,0,0,352.23,Paid
PAY000382,RIDE000404,Cash,126.59,0,0,126.59,Paid
PAY000383,RIDE000405,Wallet,340.6,0,0,340.6,Paid
PAY000384,RIDE000406,Wallet,344.35,11.15,38.41,305.94,Paid
PAY000385,RIDE000407,Card,239.43,18.27,43.74,195.69,Paid
PAY000386,RIDE000408,Wallet,159.21,0,0,159.21,Paid
PAY000387,RIDE000409,Wallet,255.97,15.18,38.86,217.11,Paid
PAY000388,RIDE000410,UPI,154.38,15.02,23.19,131.19,Pending
PAY000389,RIDE000411,UPI,246.89,22.34,55.16,191.73,Paid
PAY000390,RIDE000412,Cash,308.83,23.38,72.21,236.62,Paid
PAY000391,RIDE000413,UPI,511.86,0,0,511.86,Paid
PAY000392,RIDE000414,Wallet,110.99,0,0,110.99,Paid
PAY000393,RIDE000415,Wallet,338.32,22.95,77.65,260.67,Paid
PAY000394,RIDE000416,Wallet,207.1,22.01,45.59,161.51,Paid
PAY000395,RIDE000417,UPI,253.82,0,0,253.82,Paid
PAY000396,RIDE000418,Cash,244.47,12.79,31.27,213.2,Paid
PAY000397,RIDE000419,UPI,130.15,11.59,15.08,115.07,Paid
PAY000398,RIDE000420,Cash,136.63,0,0,136.63,Paid
PAY000399,RIDE000421,Card,144.12,11.5,16.58,127.54,Paid
PAY000400,RIDE000422,Card,349.12,18.85,65.8,283.32,Paid
